교육과정,출판년도,국/검/인정,자료형태,학교급,학교구분,서명,저자,발행처(출판사),정가,사용학년
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),기계제도,이광수,일진사,12000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),기계기초공작,김중성,웅보출판사,10000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),전자기계이론,박덕제,웅보출판사,10000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),기계일반,문광호,성림출판,10500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),기계일반,이성환,웅보출판사,11000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),기계일반,이규남,일진사,10000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),냉동공조일반,강태규,(사)한국검인정(서울교육청),8000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),유체기계,우연재,(사)한국검인정(충남교육청),7720.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),자동차기관,고훈국,웅보출판사,12000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),자동차섀시,김봉근,웅보출판사,10000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),자동차전기·전자제어,이헌태,웅보출판사,13500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),선체도면독도와제도,홍진숙,(사)한국검인정(울산교육청),8170.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),선박이론,김현철,(사)한국검인정(울산교육청),7160.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),선박구조,김영훈,(사)한국검인정(경남교육청),6770.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),선박건조,강권홍,(사)한국검인정(경남교육청),8400.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),항공기일반,정영호,(사)한국검인정(경남교육청),8340.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),항공기실무기초,위용철,(사)한국검인정(경남교육청),7720.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),재료시험,김종찬,(사)한국검인정(강원교육청),7950.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),세라믹재료,김원경,(사)한국검인정(대구교육청),9180.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),세라믹원리·공정,김원경,(사)한국검인정(대전교육청),8900.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),재료일반,김규철,일진사,10000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),산업설비,김규철,일진사,10000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),공업화학,이기왕,(사)한국검인정(경남교육청),7560.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),제조화학,이광복,(사)한국검인정(경남교육청),7890.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),단위조작,이광복,(사)한국검인정(경남교육청),7000.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),섬유재료,손영아,(사)한국검인정(서울교육청),6320.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),섬유공정,이성주,(사)한국검인정(대구교육청),10360.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),염색·가공기초,김동연,(사)한국검인정(대구교육청),7610.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),의류재료관리,신혜원,(사)한국검인정(광주교육청),7160.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),패션디자인의기초,허정선,(사)한국검인정(경북교육청),7330.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),의복구성의기초,송정아,(사)한국검인정(경북교육청),6270.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),패션마케팅,허정선,(사)한국검인정(경북교육청),6660.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),전기회로,박만호,성림출판,10500.0,
2015개정교육과정,2020,인정,교과서,고등학교,일반학교(보통교과),전기회로,최동원,웅보출판사,10500.0,
